Gene,Bacteria,Present,Category
AvrE1,E.billingiae,0,Effector
AvrB3,E.billingiae,0,Effector
AvrXccB,E.billingiae,0,Effector
DspA/E,E.billingiae,0,Effector
DspF,E.billingiae,0,Effector
Rsc3369,E.billingiae,0,Effector
MxiE,E.billingiae,0,Effector
ExoU,E.billingiae,0,Effector
T2SS,E.billingiae,0,T2SS
T3SS,E.billingiae,0,T3SS
T4SS,E.billingiae,0,T4SS
T6SS,E.billingiae,1,T6SS
Flagella,E.billingiae,1,Flagella
Pili,E.billingiae,1,Pili
Pectate disaccharide-lyase,R.variigena,1,PCWDE
Pectate lyase,R.variigena,0,PCWDE
Rhanmogalacturonan endolyase,R.variigena,0,PCWDE
Pectin lyase,R.variigena,0,PCWDE
Cellulase,R.variigena,1,PCWDE
beta-xylanase,R.variigena,0,PCWDE
Arabinosidase,R.variigena,0,PCWDE
beta-galactosidase,R.variigena,1,PCWDE
beta-xylosidase,R.variigena,0,PCWDE
beta-glucosidase,R.variigena,1,PCWDE
alpha-galactosidase,R.variigena,1,PCWDE
Galactanase,R.variigena,1,PCWDE
Polyglacturonase,R.variigena,0,PCWDE
Avicelase,R.variigena,0,PCWDE
alpha-L-arabinosidase,R.variigena,0,PCWDE
alpha-glucuronidase,R.variigena,0,PCWDE
Harpin(HrpN),R.variigena,0,Harpin
Harpin(HrpW),R.variigena,0,Harpin
Harpin(HrpA2),R.variigena,0,Harpin
Harpin(HrpZ1),R.variigena,0,Harpin
Harpin(HrpK1),R.variigena,0,Harpin
Harpin(PopW),R.variigena,0,Harpin
Harpin(HrcR),R.variigena,0,Harpin
Harpin(HopAK1),R.variigena,0,Harpin
HopAN1,R.variigena,0,Effector
HopAC1,R.variigena,0,Effector
HopAG1,R.variigena,0,Effector
HopAH1,R.variigena,0,Effector
HopAI1,R.variigena,0,Effector
HopJ1,R.variigena,0,Effector
HopAA1,R.variigena,0,Effector
HopM1,R.variigena,0,Effector
HopX1,R.variigena,0,Effector
HopQ1,R.variigena,0,Effector
HopF2,R.variigena,0,Effector
HopV1,R.variigena,0,Effector
